jerseyNumber,job,jobId,title,season,person_mlbam,person_name,team_mlbam,team_name
59,Assistant Hitting Coach,COAA,Assistant Hitting Coach,2022,494165,Jose Castro,144,Atlanta Braves
70,Assistant Hitting Coach,COAA,Assistant Hitting Coach,2022,492505,Bobby Magallanes,144,Atlanta Braves
10,Major League Hitting Consultant,MLHC,Hitting Consultant,2022,116706,Chipper Jones,144,Atlanta Braves
97,Bullpen Catcher,BCAT,Bullpen Catcher,2022,686518,Jimmy Leo,144,Atlanta Braves
99,Bullpen Catcher,BCAT,Bullpen Catcher,2022,470920,Jose Yepez,144,Atlanta Braves
98,Batting Practice Pitcher,BPPI,Batting Practice Pitcher,2022,120416,Tomas Perez,144,Atlanta Braves
4,Manager,MNGR,Manager,2022,118363,Dave Martinez,120,Washington Nationals
24,Bench Coach,COAB,Bench Coach,2022,111148,Tim Bogar,120,Washington Nationals
7,Hitting Coach,COAT,Hitting Coach,2022,112491,Darnell Coles,120,Washington Nationals
66,Assistant Hitting Coach,COAA,Assistant Hitting Coach,2022,504331,Pat Roessler,120,Washington Nationals
48,Pitching Coach,COAP,Pitching Coach,2022,433717,Jim Hickey,120,Washington Nationals
12,First Base Coach,COA1,First Base Coach,2022,458913,Eric Young Jr.,120,Washington Nationals
10,Third Base Coach,COA3,Third Base Coach,2022,113387,Gary Disarcina,120,Washington Nationals
25,Bullpen Coach,COAU,Bullpen Coach,2022,111191,Ricky Bones,120,Washington Nationals
35,Catching Coach,CATC,Catching & Strategy Coach,2022,111072,Henry Blanco,120,Washington Nationals
,"Director, Player Development",DIPD,Director of Player Development,2022,581238,De Jon Watson,120,Washington Nationals
14,Interim Manager,NTRM,Interim Manager,2022,456120,John Schneider,141,Toronto Blue Jays
2,Interim Bench Coach,INBC,Interim Bench Coach,2022,111951,Casey Candaele,141,Toronto Blue Jays
40,Pitching Coach,COAP,Pitching Coach,2022,123839,Pete Walker,141,Toronto Blue Jays
18,Hitting Coach,COAT,Hitting Coach,2022,446170,Guillermo Martinez,141,Toronto Blue Jays
53,First Base Coach,COA1,First Base Coach,2022,400119,Mark Budzinski,141,Toronto Blue Jays
20,Third Base Coach,COA3,Third Base Coach,2022,121248,Luis Rivera,141,Toronto Blue Jays
10,Bullpen Coach,COAU,Bullpen Coach and Director of Pitching Development,2022,501936,Matt Buschmann,141,Toronto Blue Jays
23,Assistant Hitting Coach,COAA,Assistant Hitting Coach and Minor League Hitting Coordinator,2022,501976,Hunter Mense,141,Toronto Blue Jays
22,Coach,COAC,Field Coordinator,2022,649975,Gil Kim,141,Toronto Blue Jays
85,Major League Pitching Strategist,MLPS,Major League Pitching Strategist,2022,693392,David Howell,141,Toronto Blue Jays
19,Major League Hitting Strategist,MLHS,Major League Hitting Strategist,2022,116256,Dave Hudgens,141,Toronto Blue Jays
86,Major League Coach,MAJC,Major League Coach,2022,801529,Adam Yudelman,141,Toronto Blue Jays
61,Bullpen Catcher,BCAT,Bullpen Catcher,2022,432938,Alex Andreopoulos,141,Toronto Blue Jays
78,Bullpen Catcher,BCAT,Bullpen Catcher,2022,499841,Luis Hurtado,141,Toronto Blue Jays
27,Interim Manager,NTRM,Interim Manager,2022,433639,Tony Beasley,140,Texas Rangers
14,Bench Coach,COAB,Bench Coach/Offensive Coordinator,2022,452778,Donnie Ecker,140,Texas Rangers
75,Hitting Coach,COAT,Hitting Coach,2022,116377,Tim Hyers,140,Texas Rangers
86,Assistant Hitting Coach,COAA,Assistant Hitting Coach,2022,595164,Seth Conner,140,Texas Rangers
71,Pitching Coach,COAP,Pitching Coach,2022,450545,Doug Mathis,140,Texas Rangers
85,Pitching Coach,COAP,Pitching Coach,2022,532889,Brendan Sagara,140,Texas Rangers
84,First Base Coach,COA1,First Base Coach,2022,461835,Josh Johnson,140,Texas Rangers
64,Third Base Coach,COA3,Field Coordinator/Third Base Coach,2022,444141,Corey Ragsdale,140,Texas Rangers
87,Bullpen Coach,COAU,Bullpen Coach,2022,451109,Brett Hayes,140,Texas Rangers
88,Catching Coach,CATC,Catching Coach,2022,435064,Bobby Wilson,140,Texas Rangers
,Bullpen Catcher,BCAT,Bullpen Catcher,2022,607486,Pat Cantwell,140,Texas Rangers
66,Bullpen Catcher,BCAT,Bullpen Catcher,2022,601612,Josh Frasier,140,Texas Rangers
16,Manager,MNGR,Manager,2022,408211,Kevin Cash,139,Tampa Bay Rays
33,Bench Coach,COAB,Bench Coach,2022,493032,Matt Quatraro,139,Tampa Bay Rays
51,Hitting Coach,COAT,Hitting Coach,2022,119456,Chad Mottola,139,Tampa Bay Rays
40,Assistant Hitting Coach,COAA,Assistant Hitting Coach,2022,456012,Dan DeMent,139,Tampa Bay Rays
53,Assistant Hitting Coach,COAA,Assistant Hitting Coach,2022,684270,Brady North,139,Tampa Bay Rays
23,Pitching Coach,COAP,Pitching Coach,2022,216897,Kyle Snyder,139,Tampa Bay Rays
92,Assistant Pitching Coach,COPA,Assistant Pitching and Rehab Coach,2022,547427,Rick Knapp,139,Tampa Bay Rays
31,First Base Coach,COA1,First Base Coach,2022,408076,Chris Prieto,139,Tampa Bay Rays
27,Third Base Coach,COA3,Third Base Coach,2022,494883,Rodney Linares,139,Tampa Bay Rays
41,Bullpen Coach,COAU,Bullpen Coach,2022,494748,Stan Boroski,139,Tampa Bay Rays
99,Bullpen Catcher,BCAT,Bullpen Catcher,2022,470373,Misha Dworken,139,Tampa Bay Rays
24,Major League Field Coordinator,MLFC,Major League Field Coordinator,2022,150137,Paul Hoover,139,Tampa Bay Rays
97,Coach,COAC,Process & Analytics Coach,2022,684070,Jonathan Erlichman,139,Tampa Bay Rays
37,Manager,MNGR,Manager,2022,458538,Oliver Marmol,138,St. Louis Cardinals
55,Bench Coach,COAB,Bench Coach,2022,435401,Skip Schumaker,138,St. Louis Cardinals
54,Hitting Coach,COAT,Hitting Coach,2022,527982,Jeff Albert,138,St. Louis Cardinals
35,Pitching Coach,COAP,Pitching Coach,2022,118121,Mike Maddux,138,St. Louis Cardinals
82,First Base Coach,COA1,First Base Coach,2022,406893,Stubby Clapp,138,St. Louis Cardinals
75,Third Base Coach,COA3,Third Base Coach,2022,491917,Ron 'Pop' Warner,138,St. Louis Cardinals
51,Assistant Coach,ASSC,Assistant Coach,2022,118694,Willie McGee,138,St. Louis Cardinals
72,Bullpen Coach,COAU,Bullpen Coach,2022,113953,Bryan Eversgerd,138,St. Louis Cardinals
49,Assistant Hitting Coach,COAA,Assistant Hitting Coach,2022,123930,Turner Ward,138,St. Louis Cardinals
88,Run Production Coach,RPRO,Run Production Coach,2022,692939,Patrick Elkins,138,St. Louis Cardinals
90,Major League Pitching Strategist,MLPS,Major League Pitching Strategist,2022,699170,Dusty Blake,138,St. Louis Cardinals
94,Bullpen Catcher,BCAT,Bullpen Catcher,2022,408217,Jamie Pogue,138,St. Louis Cardinals
76,Bullpen Catcher,BCAT,Bullpen Catcher,2022,500675,Kleininger Teran,138,St. Louis Cardinals
9,Manager,MNGR,Manager,2022,122011,Scott Servais,136,Seattle Mariners
32,Pitching Coach,COAP,Pitching Coach,2022,597076,Pete Woodworth,136,Seattle Mariners
44,Hitting Coach,COAT,Hitting Coach & Director of Hitting Strategy,2022,692775,Jarret DeHart,136,Seattle Mariners
57,Hitting Coach,COAT,Hitting Coach,2022,455743,Tony Arnerich,136,Seattle Mariners
45,First Base Coach,COA1,First Base Coach,2022,502117,Kristopher Negron,136,Seattle Mariners
14,Third Base Coach,COA3,Third Base Coach,2022,427000,Manny Acta,136,Seattle Mariners
79,Bullpen Coach,COAU,Bullpen Coach and Director of Pitching Strategy,2022,548305,Trent Blank,136,Seattle Mariners
89,Batting Practice Pitcher,BPPI,Batting Practice Pitcher,2022,506562,Nasusel Cabrera,136,Seattle Mariners
96,Bullpen Catcher,BCAT,Bullpen Catcher,2022,687613,Eric Jones,136,Seattle Mariners
6,Infield Coach,INFC,Infield Coach,2022,427228,Perry Hill,136,Seattle Mariners
49,Major League Coach,MAJC,Major League Coach & Senior Director of Baseball Development,2022,800001,Andy McKay,136,Seattle Mariners
66,Bullpen Catcher,BCAT,Bullpen Catcher,2022,466245,Fleming Baez,136,Seattle Mariners
39,Major League Field Coordinator,MLFC,Major League Field Coordinator,2022,595450,Carson Vitale,136,Seattle Mariners
19,Manager,MNGR,Manager,2022,137002,Gabe Kapler,137,San Francisco Giants
0,Bullpen Coach,COAU,Bullpen/Catching Coach,2022,503360,Craig Albernaz,137,San Francisco Giants
84,Pitching Coach,COAP,Pitching Coach,2022,457732,Andrew Bailey,137,San Francisco Giants
97,Pitching Coach,COAP,Director of Pitching,2022,446454,Brian Bannister,137,San Francisco Giants
50,Bench Coach,COAB,Bench/Infield Coach,2022,678989,Kai Correa,137,San Francisco Giants
85,Assistant Hitting Coach,COAA,Assistant Hitting Coach,2022,463313,Pedro Guerrero,137,San Francisco Giants
88,Assistant Hitting Coach,COAA,Director of Hitting/Assistant Hitting Coach,2022,682508,Dustin Lind,137,San Francisco Giants
87,Assistant Pitching Coach,COPA,Assistant Pitching Coach,2022,448258,J.P. Martinez,137,San Francisco Giants
79,Quality Control Coach,QUAC,Quality Assurance Coach,2022,455512,Nick Ortiz,137,San Francisco Giants
00,First Base Coach,COA1,First Base Coach,2022,460322,Antoan Richardson,137,San Francisco Giants
77,Hitting Coach,COAT,Hitting Coach,2022,643585,Justin Viele,137,San Francisco Giants
91,Third Base Coach,COA3,Third Base Coach,2022,506912,Mark Hallberg,137,San Francisco Giants
92,Major League Coach,MAJC,Major League Assistant Coach,2022,693136,Alyssa Nakken,137,San Francisco Giants
99,Major League Assistant Hitting Coach,MLAH,Major League Assistant Coach,2022,666065,Taira Uematsu,137,San Francisco Giants
95,Bullpen Catcher,BCAT,Bullpen Catcher,2022,571529,Alex Burg,137,San Francisco Giants
98,Coach,COAC,"Director, Video Coaching",2022,445010,Fernando Perez,137,San Francisco Giants
96,Assistant Coach,ASSC,Assistant Coach,2022,657804,Brant Whiting,137,San Francisco Giants
17,Manager,MNGR,Manager,2022,486359,Derek Shelton,134,Pittsburgh Pirates
12,Bench Coach,COAB,Bench Coach,2022,430603,Don Kelly,134,Pittsburgh Pirates
49,Hitting Coach,COAT,Hitting Coach,2022,534388,Andy Haines,134,Pittsburgh Pirates
88,Assistant Hitting Coach,COAA,Assistant Hitting Coach,2022,461842,Christian Marrero,134,Pittsburgh Pirates
47,Pitching Coach,COAP,Pitching Coach,2022,599909,Oscar Marin,134,Pittsburgh Pirates
16,First Base Coach,COA1,First Base Coach,2022,150031,Tarrik Brock,134,Pittsburgh Pirates
58,Third Base Coach,COA3,Third Base Coach,2022,430958,Mike Rabelo,134,Pittsburgh Pirates
87,Bullpen Coach,COAU,Bullpen Coach,2022,445593,Justin Meccage,134,Pittsburgh Pirates
86,Game Planning Coach,GAME,Game Planning/Strategy Coach,2022,645080,Radley Haddad,134,Pittsburgh Pirates
82,Bullpen Catcher,BCAT,Bullpen Catcher/Catching Assistant,2022,548089,Jordan Comadena,134,Pittsburgh Pirates
,Special Advisor,SADV,"Special Advisor, Pitching Development",2022,121307,Dewey Robinson,134,Pittsburgh Pirates
,Major League Coach,MAJC,Major League Assistant,2022,542946,Jeremy Bleich,134,Pittsburgh Pirates
,Major League Coach,MAJC,Major League Assistant,2022,800097,Tim McKeithan,134,Pittsburgh Pirates
,Roving Catching Instructor,RVCI,Roving Catching Instructor,2022,595344,Chad Noble,134,Pittsburgh Pirates
,Development Coach ,DEVE,Development Coach,2022,691199,Caitlyn Callahan,134,Pittsburgh Pirates
95,Bench Coach,COAB,Bench Coach,2022,466252,Mike Calitri,143,Philadelphia Phillies
65,Pitching Coach,COAP,Pitching Coach,2022,571584,Caleb Cotham,143,Philadelphia Phillies
59,Interim Manager,NTRM,Interim Manager,2022,479080,Rob Thomson,143,Philadelphia Phillies
93,Assistant Pitching Coach,COPA,Assistant Pitching Coach/Director of Pitching Development,2022,800004,Brian Kaplan,143,Philadelphia Phillies
94,Bullpen Coach,COAU,Bullpen Coach,2022,150326,David Lundquist,143,Philadelphia Phillies
53,Hitting Coach,COAT,Hitting Coach,2022,438989,Kevin Long,143,Philadelphia Phillies
91,Assistant Hitting Coach,COAA,Assistant Hitting Coach,2022,475288,Jason Camilli,143,Philadelphia Phillies
62,Third Base Coach,COA3,Third Base Coach,2022,150130,Dusty Wathan,143,Philadelphia Phillies
38,First Base Coach,COA1,First Base Coach,2022,446111,Paco Figueroa,143,Philadelphia Phillies
9,Infield Coach,INFC,Infield Coach,2022,433638,Bobby Dickerson,143,Philadelphia Phillies
97,Bullpen Catcher,BCAT,Bullpen Catcher,2022,499717,Brad Flanders,143,Philadelphia Phillies
98,Bullpen Catcher,BCAT,Bullpen Catcher,2022,572053,Hector Rabago,143,Philadelphia Phillies
7,Manager,MNGR,Manager,2022,117276,Mark Kotsay,133,Oakland Athletics
16,Bench Coach,COAB,Bench Coach,2022,110385,Brad Ausmus,133,Oakland Athletics
52,Hitting Coach,COAT,Hitting Coach,2022,452784,Tommy Everidge,133,Oakland Athletics
41,Assistant Hitting Coach,COAA,Assistant Hitting Coach,2022,112849,Chris Cron,133,Oakland Athletics
14,Pitching Coach,COAP,Pitching Coach,2022,491913,Scott Emerson,133,Oakland Athletics
3,First Base Coach,COA1,First Base Coach/Infield Coach,2022,440009,Eric Martins,133,Oakland Athletics
51,Third Base Coach,COA3,Third Base Coach/Run Prevention Coach,2022,470252,Darren Bush,133,Oakland Athletics
59,Bullpen Coach,COAU,Bullpen Coach,2022,116534,Marcus Jensen,133,Oakland Athletics
18,Quality Control Coach,QUAC,Quality Control Coach,2022,110119,Mike Aldrete,133,Oakland Athletics
91,Bullpen Catcher,BCAT,Bullpen Catcher,2022,458031,Dustin Hughes,133,Oakland Athletics
,Performance Coach,PERF,Hitting Performance Coach,2022,470795,Scott Steinmann,133,Oakland Athletics
,Mental Performance Coordinator,MPCO,Minor League Pitching Coordinator,2022,120288,Gil Patterson,133,Oakland Athletics
,Hitting Analytics Instructor,HANI,Hitting Technology Coach,2022,460183,Lloyd Turner,133,Oakland Athletics
17,Manager,MNGR,Manager,2022,111213,Aaron Boone,147,New York Yankees
64,Bench Coach,COAB,Bench Coach,2022,425825,Carlos Mendoza,147,New York Yankees
74,Hitting Coach,COAT,Hitting Coach,2022,666867,Dillon Lawson,147,New York Yankees
78,Assistant Hitting Coach,COAA,Assistant Hitting Coach,2022,605217,Casey Dykes,147,New York Yankees
56,Assistant Hitting Coach,COAA,Assistant Hitting Coach,2022,119004,Hensley Meulens,147,New York Yankees
67,Pitching Coach,COAP,Pitching Coach,2022,666880,Matt Blake,147,New York Yankees
79,Assistant Pitching Coach,COPA,Assistant Pitching Coach,2022,800100,Desi Druschel,147,New York Yankees
75,First Base Coach,COA1,First Base Coach,2022,425648,Travis Chapman,147,New York Yankees
67,Third Base Coach,COA3,Third Base Coach,2022,467588,Luis Rojas,147,New York Yankees
60,Bullpen Coach,COAU,Bullpen Coach,2022,115476,Mike Harkey,147,New York Yankees
76,Catching Coach,CATC,Quality Control and Catching Coach,2022,678933,Tanner Swanson,147,New York Yankees
11,Manager,MNGR,Manager,2022,427469,Buck Showalter,121,New York Mets
53,Bench Coach,COAB,Bench Coach,2022,427468,Glenn Sherlock,121,New York Mets
79,Assistant Coach,ASSC,Assistant Major League Coach,2022,592130,Danny Barnes,121,New York Mets
51,Hitting Coach,COAT,Hitting Coach,2022,136767,Eric Chavez,121,New York Mets
49,Assistant Hitting Coach,COAA,Assistant Hitting Coach,2022,571465,Jeremy Barnes,121,New York Mets
55,Pitching Coach,COAP,Pitching Coach,2022,458550,Jeremy Hefner,121,New York Mets
54,First Base Coach,COA1,First Base Coach,2022,117114,Wayne Kirby,121,New York Mets
56,Third Base Coach,COA3,Third Base Coach,2022,112664,Joey Cora,121,New York Mets
52,Bullpen Coach,COAU,Bullpen Coach,2022,459643,Craig Bjornson,121,New York Mets
78,Bullpen Catcher,BCAT,Bullpen Catcher,2022,430002,Eric Langill,121,New York Mets
57,Bullpen Catcher,BCAT,Bullpen Catcher,2022,534948,Dave Racaniello,121,New York Mets
3,Manager,MNGR,Manager,2022,118942,Bob Melvin,135,San Diego Padres
20,Bench Coach,COAB,Bench Coach,2022,134342,Ryan Christenson,135,San Diego Padres
39,Hitting Coach,COAT,Hitting Coach,2022,674053,Michael Brdar,135,San Diego Padres
81,Assistant Hitting Coach,COAA,Major League Batting Practice/Hitting Instructor,2022,328692,Morgan Burkhart,135,San Diego Padres
57,Pitching Coach,COAP,Pitching Coach,2022,492906,Ruben Niebla,135,San Diego Padres
46,First Base Coach,COA1,First Base Coach and Outfield Instructor,2022,543478,David Macias,135,San Diego Padres
38,Third Base Coach,COA3,Acting Third Base Coach,2022,492917,Mike Shildt,135,San Diego Padres
18,Third Base Coach,COA3,Third Base Coach,2022,124326,Matt Williams,135,San Diego Padres
53,Bullpen Coach,COAU,Bullpen Coach,2022,455007,Ben Fritz,135,San Diego Padres
86,Major League Coach,MAJC,Major League Coaching Assistant,2022,534932,Heberto Andrade,135,San Diego Padres
84,Quality Control Coach,QUAC,Quality Control Coach,2022,475247,Ryan Flaherty,135,San Diego Padres
45,Catching Coach,CATC,Catching Coach,2022,465041,Francisco Cervelli,135,San Diego Padres
38,Senior Baseball Advisor,SBAD,Senior Advisor to the Major League Coaching Staff,2022,427406,Bryan Price,135,San Diego Padres
83,Coaching Assistant/Replay Coordinator,CARP,Game Planning and Coaching Assistant,2022,671830,Peter Summerville,135,San Diego Padres
82,Assistant Coach,ASSC,Major League Coaching Assistant,2022,676027,Justin Novak,135,San Diego Padres
30,Manager,MNGR,Manager,2022,112736,Craig Counsell,158,Milwaukee Brewers
00,Bench Coach,COAB,Bench Coach,2022,580268,Pat Murphy,158,Milwaukee Brewers
70,Hitting Coach,COAT,Hitting Coach,2022,684253,Connor Dawson,158,Milwaukee Brewers
99,Hitting Coach,COAT,Hitting Coach,2022,123350,Ozzie Timmons,158,Milwaukee Brewers
68,Assistant Hitting Coach,COAA,Assistant Hitting Coach and Infield Coach,2022,408235,Matt Erickson,158,Milwaukee Brewers
84,Pitching Coach,COAP,Pitching Coach,2022,116123,Chris Hook,158,Milwaukee Brewers
23,First Base Coach,COA1,First Base Coach,2022,450641,Quintin Berry,158,Milwaukee Brewers
40,Third Base Coach,COA3,Third Base Coach,2022,407835,Jason Lane,158,Milwaukee Brewers
61,Bullpen Coach,COAU,Bullpen Coach,2022,449104,Jim Henderson,158,Milwaukee Brewers
60,Assistant Coach,ASSC,"Associate Pitching, Catching and Strategy Coach",2022,696125,Walker McKinven,158,Milwaukee Brewers
65,Bullpen Catcher,BCAT,Bullpen Catcher,2022,454973,Nestor Corredor,158,Milwaukee Brewers
62,Bullpen Catcher,BCAT,Bullpen Catcher,2022,605523,Adam Weisenburger,158,Milwaukee Brewers
10,Manager,MNGR,Manager,2022,111034,Bud Black,115,Colorado Rockies
8,Bench Coach,COAB,Bench Coach,2022,133226,Mike Redmond,115,Colorado Rockies
16,Hitting Coach,COAT,Hitting Coach,2022,118132,Dave Magadan,115,Colorado Rockies
38,Assistant Hitting Coach,COAA,Assistant Hitting Coach,2022,462413,Andy Gonzalez,115,Colorado Rockies
68,Assistant Hitting Coach,COAA,Assistant Hitting Coach,2022,452063,P.J. Pilittere,115,Colorado Rockies
31,Pitching Coach,COAP,Pitching Coach,2022,121927,Darryl Scott,115,Colorado Rockies
53,First Base Coach,COA1,First Base Coach,2022,492488,Ronnie Gideon,115,Colorado Rockies
39,Third Base Coach,COA3,Third Base Coach,2022,112469,Stu Cole,115,Colorado Rockies
74,Bullpen Coach,COAU,Bullpen Coach,2022,112692,Reid Cornelius,115,Colorado Rockies
75,Bullpen Catcher,BCAT,Assistant Bullpen Catcher,2022,677866,Kyle Cunningham,115,Colorado Rockies
77,Bullpen Catcher,BCAT,Bullpen Catcher,2022,607657,Aaron Munoz,115,Colorado Rockies
8,Manager,MNGR,Manager,2022,118443,Don Mattingly,146,Miami Marlins
82,Bench Coach,COAB,Bench Coach,2022,494875,James Rowson,146,Miami Marlins
33,Hitting Coach,COAT,Hitting Coach,2022,407801,Marcus Thames,146,Miami Marlins
30,Pitching Coach,COAP,Pitching Coach,2022,122838,Mel Stottlemyre,146,Miami Marlins
17,Assistant Hitting Coach,COAA,Major League Assistant Hitting Coach,2022,456598,Edwar Gonzalez,146,Miami Marlins
88,First Base Coach,COA1,First Base Coach,2022,297292,Keith Johnson,146,Miami Marlins
13,Third Base Coach,COA3,Major League Third Base Coach,2022,120349,Al Pedrique,146,Miami Marlins
40,Quality Control Coach,QUAC,Major League Quality Control Coach,2022,449080,Eric Duncan,146,Miami Marlins
10,Catching Coach,CATC,Catching Coach,2022,453256,Eddy Rodriguez,146,Miami Marlins
21,Bullpen Coach,COAU,Bullpen Coach,2022,494880,Wellington Cepeda,146,Miami Marlins
85,Bullpen Coordinator,BUCO,Bullpen Coordinator,2022,429660,Rob Flippo,146,Miami Marlins
,Defensive Coach,DEFC,Defensive Coach,2022,623906,Rich Arena,146,Miami Marlins
,Defensive Coach,DEFC,Defensive Coach,2022,571494,Danny Black,146,Miami Marlins
,Bullpen Catcher,BCAT,Bullpen Catcher,2022,669905,Michael Hernandez,146,Miami Marlins
,Outfield Coordinator,OFCO,Outfield Coordinator,2022,657225,Jeff Hendrix,146,Miami Marlins
13,Manager,MNGR,Manager,2022,133321,Alex Cora,111,Boston Red Sox
86,Bench Coach,COAB,Bench Coach/Outfield Instructor,2022,461416,Will Venable,111,Boston Red Sox
62,Hitting Coach,COAT,Hitting Coach,2022,572842,Peter Fatse,111,Boston Red Sox
54,Assistant Hitting Coach,COAA,Assistant Hitting Coach,2022,120077,Luis Ortiz,111,Boston Red Sox
85,Assistant Hitting Coach,COAA,Assistant Hitting Coach,2022,463015,Ben Rosenthal,111,Boston Red Sox
58,Pitching Coach,COAP,Pitching Coach,2022,433657,Dave Bush,111,Boston Red Sox
84,First Base Coach,COA1,First Base Coach,2022,407496,Ramon Vazquez,111,Boston Red Sox
53,Third Base Coach,COA3,Third Base Coach,2022,136866,Carlos Febles,111,Boston Red Sox
55,Bullpen Coach,COAU,Bullpen Coach,2022,276526,Kevin Walker,111,Boston Red Sox
33,Player Information Coach,PINC,Game Planning Coordinator/Catching Coach,2022,123660,Jason Varitek,111,Boston Red Sox
88,Bullpen Catcher,BCAT,Bullpen Catcher,2022,463799,Mani Martinez,111,Boston Red Sox
,Major League Field Coordinator,MLFC,Major League Field Coordinator,2022,114353,Andy Fox,111,Boston Red Sox
3,Manager,MNGR,Manager,2022,424325,David Ross,112,Chicago Cubs
29,Bench Coach,COAB,Bench Coach,2022,433477,Andy Green,112,Chicago Cubs
68,Pitching Coach,COAP,Pitching Coach,2022,459415,Tommy Hottovy,112,Chicago Cubs
88,Hitting Coach,COAT,Hitting Coach,2022,467788,Greg Brown,112,Chicago Cubs
55,First Base Coach,COA1,First Base Coach,2022,435063,Mike Napoli,112,Chicago Cubs
33,Third Base Coach,COA3,Third Base Coach,2022,407483,Willie Harris,112,Chicago Cubs
81,Game Planning Coach,GAME,Game Strategy/Catching Coach,2022,679012,Craig Driver,112,Chicago Cubs
53,Assistant Pitching Coach,COPA,Assistant Pitching Coach,2022,446290,Daniel Moskos,112,Chicago Cubs
82,Assistant Hitting Coach,COAA,Assistant Hitting Coach,2022,444373,Johnny Washington,112,Chicago Cubs
54,Bullpen Coach,COAU,Bullpen Coach,2022,459314,Chris Young,112,Chicago Cubs
85,Bullpen Catcher,BCAT,Bullpen Catcher,2022,685608,Garrett Lloyd,112,Chicago Cubs
,Run Production Coach,RPRO,"Assistant Director, Run Production",2022,451192,James Adduci,112,Chicago Cubs
