mlbam,name,retroID,address,city,state,postalCode,country,phone,lat,long,capacity,turfType,roofType,leftLine,left,leftCenter,center,rightCenter,rightLine
3157,Fairview Park,DAY01,,Dayton,OH,,USA,,,,,Grass,Open,,,,,,
3158,Jailhouse Flats,FOR03,,Fort Wayne,IN,,USA,,,,,Grass,Open,,,,,,
3159,League Park,CLE05,,Cleveland,OH,,USA,,,,,Grass,Open,,,,,,
3160,League Park,CIN05,,Cincinnati,OH,,USA,,,,,Grass,Open,,,,,,
3162,Neil Park,COL03,,Columbus,OH,,USA,,,,,Grass,Open,,,,,,
3163,Neil Park,COL04,,Columbus,OH,,USA,,,,,Grass,Open,,,,,,
3164,Oriole Park,BAL09,,Baltimore,MD,,USA,,,,,Grass,Open,,,,,,
3165,Ramona Park,GRA01,,Grand Rapids,MI,,USA,,,,,Grass,Open,,,,,,
3166,Rocky Point Park,WAR01,,Warwick,RI,,USA,,,,,Grass,Open,,,,,,
3167,Sportsman's Park,JER02,,St. Louis,MO,,USA,,,,,Grass,Open,,,,,,
3168,Sportsman's Park,STL07,,St. Louis,MO,,USA,,,,,Grass,Open,,,,,,
3169,West Side Park,CHI08,,Chicago,IL,,USA,,,,,Grass,Open,,,,,,
3170,Wiedenmeyer's Park,NWK01,,Newark,NJ,,USA,,,,,Grass,Open,,,,,,
3309,Nationals Park,WAS11,"1500 South Capitol Street, SE",Washington,DC,20003-1507,USA,(202) 349-0400,38.872861,-77.007501,41376.0,Grass,Open,336.0,,377.0,402.0,370.0,335.0
3312,Target Field,MIN04,1 Twins Way,Minneapolis,MN,55403,USA,(612) 659-3400,44.981829,-93.277891,38544.0,Grass,Open,339.0,,377.0,404.0,367.0,328.0
3313,Yankee Stadium,NYC21,One East 161st Street,Bronx,NY,10451,USA,(718) 293-4300,40.82919482,-73.9264977,47309.0,Grass,Open,318.0,,399.0,408.0,385.0,314.0
3289,Citi Field,NYC20,Citi Field,Flushing,NY,11368,USA,(718) 507-6387,40.75753012,-73.84559155,42136.0,Grass,Open,335.0,358.0,370.0,408.0,380.0,330.0
